"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5184","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","5.751743","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","9.345601","0","6"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","9.401659","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","9","9","1","12.549966","0","9"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","5.540047","0","4"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","4","4","1","5.465132","0","5"
"/MovieRenderPipeline/Materials/MoviePipeline_StencilCutout.MoviePipeline_StencilCutout","0","17","5","1","24.191498","0","137"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","9","3","1","11.671543","0","33"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","60","1","1","135.502808","0","1878"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","98","1","1","141.955566","0","4808"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","60","1","1","86.761642","0","1171"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","9","2","1","12.499934","0","21"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","48.499542","0","89"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","24.343885","0","62"
"/Engine/VREditor/TransformGizmo/Main.Main","0","9","9","1","12.408887","0","15"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","9","1","1","12.716639","0","32"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","51","9","1","47.550060","0","263"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","0","54","4","1","62.444294","0","1298"
"/Game/Tech/BuildingSystem/Materials/RedColor.RedColor","0","24","5","1","48.094662","0","183"
"/Game/Tech/BuildingSystem/Materials/GreyColor.GreyColor","0","24","1","1","39.176975","0","323"
"/Game/Tech/BuildingSystem/Materials/GreenColor.GreenColor","0","24","1","1","38.320225","0","310"
"/Game/Particles/Starter_Particles/Materials/m_flare_01.m_flare_01","0","36","8","1","42.773590","0","611"
"","0","1","0","1","0.000000","1","0"
"/Game/Materials/VFX/MM_LevelBorder.MM_LevelBorder","0","48","1","1","83.119072","0","1180"
"/Game/Materials/Sky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","2","1","5.724415","0","11"
"/Game/Materials/Environment/Mountain/MM_Mountain.MM_Mountain","0","24","1","1","44.798904","0","300"
"/Game/Materials/MM_Solid_Color.MM_Solid_Color","0","38","1","1","108.259773","0","705"
"/Game/Materials/MM_EnemyPoisoned.MM_EnemyPoisoned","0","28","1","1","44.781872","0","433"
"/Game/Materials/MM_EnemyGreen.MM_EnemyGreen","0","28","1","1","42.681057","0","390"
"/Game/Materials/MM_EnemyFrozen.MM_EnemyFrozen","0","28","1","1","42.451542","0","384"
"/Game/Materials/MM_Emmisive_Color.MM_Emmisive_Color","0","33","1","1","58.436630","0","548"
"/Game/FirstPerson/LevelPrototyping/Materials/M_Solid.M_Solid","0","28","1","1","45.534523","0","407"
"/Game/FirstPerson/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","37","1","1","62.486496","0","655"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","84","2","1","187.976700","0","3279"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","60","1","1","82.854500","0","1516"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","66","1","1","154.465912","0","1461"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","66","1","1","160.340759","0","1429"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","47.598541","0","305"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","9","1","1","12.670280","0","47"
